text	code	workerid	probid	subid	line	indent
if b is 0 and a is greater than 0 or equal to 0 and a is less than or equal to n, return 4 from function	if (b == 0 && a >= 0 && a <= n) return 4;	01	57A	36728411	10	1
	return 0;	01	57A	36728411	11	1
	}	01	57A	36728411	12	0
declare is_y2 with integers b, a as arguments, returning integer	int is_y2(int b, int a) {	01	57A	36728411	13	0
if b is n and a is greater than or equal to 0 and a is less than or equal to n, return 2 from function	if (b == n && a >= 0 && a <= n) return 2;	01	57A	36728411	14	1
	return 0;	01	57A	36728411	15	1
	}	01	57A	36728411	16	0
	int main() {	01	57A	36728411	17	0
create integer t	int t;	01	57A	36728411	18	1
create integers x1, x2, y1, y2, j	int x1, x2, y1, y2, j;	01	57A	36728411	19	1
read n read x1 read y1 read x2 read y2	cin >> n >> x1 >> y1 >> x2 >> y2;	01	57A	36728411	20	1
create integers value1, value2, val, a, b, set val to 0	int value1, value2, val = 0, a, b;	01	57A	36728411	21	1
for i = 0 to 2 exclusive	for (int i = 0; i < 2; i++) {	01	57A	36728411	22	1
if i is 0	if (i == 0) {	01	57A	36728411	23	2
set a to x1, set b to y1	a = x1, b = y1;	01	57A	36728411	24	3
else	} else {	01	57A	36728411	25	2
set a to x2, set b to y2	a = x2, b = y2;	01	57A	36728411	26	3
	}	01	57A	36728411	27	2
set j to 1	j = 1;	01	57A	36728411	28	2
while not val	while (!val) {	01	57A	36728411	29	2
if j is 1	if (j == 1)	01	57A	36728411	30	3
set val to result of run is_x1 with a, b as arguments	val = is_x1(a, b);	01	57A	36728411	31	4
else if j is 2	else if (j == 2)	01	57A	36728411	32	3
set val to result of run is_y1 with a, b as arguments	val = is_y1(a, b);	01	57A	36728411	33	4
else if j is 3	else if (j == 3)	01	57A	36728411	34	3
set val to result of run is_x2 with a, b as arguments	val = is_x2(a, b);	01	57A	36728411	35	4
else if j is 4	else if (j == 4)	01	57A	36728411	36	3
set val to result of run is_y2 with a, b as arguments	val = is_y2(a, b);	01	57A	36728411	37	4
increment j	j++;	01	57A	36728411	38	3
	}	01	57A	36728411	39	2
if i is 0	if (i == 0)	01	57A	36728411	40	2
set value1 to val	value1 = val;	01	57A	36728411	41	3
else	else	01	57A	36728411	42	2
set value2 to val	value2 = val;	01	57A	36728411	43	3
set val to 0	val = 0;	01	57A	36728411	44	2
	}	01	57A	36728411	45	1
if value1 is value2	if (value1 == value2) {	01	57A	36728411	46	1
if value1 is 1 or value1 is 3	if (value1 == 1 || value1 == 3) {	01	57A	36728411	47	2
print absolute value of ( x1 - x2 ) print "\n"	cout << abs(x1 - x2) << "\n";	01	57A	36728411	48	3
else	} else	01	57A	36728411	49	2
print absolute value of ( y1 - y2 ) print "\n"	cout << abs(y1 - y2) << "\n";	01	57A	36728411	50	3
else if ( value1 is 1 and value 2 is 2 ) or ( value1 is 2 and value 2 is 1 )	} else if ((value1 == 1 && value2 == 2) || (value1 == 2 && value2 == 1)) {	01	57A	36728411	51	1
if value1 is 1	if (value1 == 1)	01	57A	36728411	52	2
print ( n - x1 ) + y2 print "\n"	cout << (n - x1) + y2 << "\n";	01	57A	36728411	53	3
else	else	01	57A	36728411	54	2
print ( n - x2 ) + y1 print "\n"	cout << (n - x2) + y1 << "\n";	01	57A	36728411	55	3
else if ( value1 is 1 and value2 is 4 ) or ( value1 is 4 and value2 is 1 )	} else if ((value1 == 1 && value2 == 4) || (value1 == 4 && value2 == 1)) {	01	57A	36728411	56	1
if value1 is 1	if (value1 == 1)	01	57A	36728411	57	2
print x1 + y2 print "\n"	cout << x1 + y2 << "\n";	01	57A	36728411	58	3
else	else	01	57A	36728411	59	2
print x2 + y1 print "\n"	cout << x2 + y1 << "\n";	01	57A	36728411	60	3
else if ( value1 is 2 and value 2 is 3 ) or ( value1 is 3 and value2 is 2 )	} else if ((value1 == 2 && value2 == 3) || (value1 == 3 && value2 == 2)) {	01	57A	36728411	61	1
if value1 is 2	if (value1 == 2)	01	57A	36728411	62	2
print (n - y1) + (n - x2) print "\n"	cout << (n - y1) + (n - x2) << "\n";	01	57A	36728411	63	3
else	else	01	57A	36728411	64	2
print (n - y2) + (n - x1) print "\n"	cout << (n - y2) + (n - x1) << "\n";	01	57A	36728411	65	3
else if ( value1 is 3 and value2 is 4 ) or ( value1 is 4 and value2 is 3 )	} else if ((value1 == 3 && value2 == 4) || (value1 == 4 && value2 == 3)) {	01	57A	36728411	66	1
if value1 is 3	if (value1 == 3)	01	57A	36728411	67	2
print x1 + n - y2 print "\n"	cout << x1 + n - y2 << "\n";	01	57A	36728411	68	3
else	else	01	57A	36728411	69	2
print x2 + n - y1 print "\n"	cout << x2 + n - y1 << "\n";	01	57A	36728411	70	3
else if ( value1 is 1 and value2 is 3 ) or ( value1 is 3 and value2 is 1 )	} else if ((value1 == 1 && value2 == 3) || (value1 == 3 && value2 == 1)) {	01	57A	36728411	71	1
print minimum of x1 + n + x2 and n - x1 + n + n - x2 print "\n"	cout << (min(x1 + n + x2, n - x1 + n + n - x2)) << "\n";	01	57A	36728411	72	2
else if ( value1 is 2 and value2 is 4 ) or ( value1 is 4 and value2 is 2 )	} else if ((value1 == 2 && value2 == 4) || (value1 == 4 && value2 == 2)) {	01	57A	36728411	73	1
print minimum of y1 + n + y2 and n - y1 + n + n - y2 print "\n"	cout << (min(y1 + n + y2, n - y1 + n + n - y2)) << "\n";	01	57A	36728411	74	2
	}	01	57A	36728411	75	1
	return 0;	01	57A	36728411	76	1
	}	01	57A	36728411	77	0
a = unsigned long long array of size 2000000	unsigned long long a[2000000];	05	587A	45279201	0	0
b = unsigned long long array of size 2000000	unsigned long long b[2000000];	05	587A	45279201	1	0
n = integer	int n;	05	587A	45279201	2	0
in the function judge that takes integer n and returns bool	bool judge(int n) {	05	587A	45279201	3	0
for i = 0 to n - 1 exclusive	for (int i = 0; i < n - 1; ++i) {	05	587A	45279201	4	1
if a[i] is a[i + 1], return true	if (a[i] == a[i + 1]) return true;	05	587A	45279201	5	2
	}	05	587A	45279201	6	1
return false	return false;	05	587A	45279201	7	1
	}	05	587A	45279201	8	0
	int main() {	05	587A	45279201	9	0
while read n	while (cin >> n) {	05	587A	45279201	10	1
set all contents of a to 0	memset(a, 0, sizeof(a));	05	587A	45279201	11	2
for i = 0 to n exclusive	for (int i = 0; i < n; ++i) {	05	587A	45279201	12	2
read a[i]	cin >> a[i];	05	587A	45279201	13	3
increment b[a[i]]	b[a[i]]++;	05	587A	45279201	14	3
	}	05	587A	45279201	15	2
sort a and a + n	sort(a, a + n);	05	587A	45279201	16	2
ans = integer with ans = 0	int ans = 0;	05	587A	45279201	17	2
for i = 1 to 2000000 exclusive	for (int i = 1; i < 2000000; ++i) {	05	587A	45279201	18	2
b[i] = b[i] + (b[i - 1] / 2)	b[i] += (b[i - 1] / 2);	05	587A	45279201	19	3
b[i - 1] = b[i - 1] modulo 2	b[i - 1] %= 2;	05	587A	45279201	20	3
ans = ans + b[i - 1]	ans += b[i - 1];	05	587A	45279201	21	3
	}	05	587A	45279201	22	2
print ans	cout << ans << endl;	05	587A	45279201	23	2
	}	05	587A	45279201	24	1
	}	05	587A	45279201	25	0
declare constant integer N = 1e5 + 10	const int N = 1e5 + 10;	01	883A	39881536	0	0
declare long longs n, a, m, d	long long n, a, m, d;	01	883A	39881536	1	0
declare long long array t size N, long long da	long long t[N], da;	01	883A	39881536	2	0
declare nextDiv with long longs bound, div as arguments, returning long long	long long nextDiv(long long bound, long long div) {	01	883A	39881536	3	0
return ( bound if bound % div is 0, else bound + div - bound % div )	return (bound % div == 0 ? bound : bound + div - bound % div);	01	883A	39881536	4	1
	}	01	883A	39881536	5	0
declare nextDiv with long longs bound, num, div as arguments, returning long long	long long nextDiv(long long bound, long long num, long long div) {	01	883A	39881536	6	0
if ( bound % div is 0 ) return bound + num * div	if (bound % div == 0) return bound + (num)*div;	01	883A	39881536	7	1
return result of run nextDiv(bound,div) + (num - 1 ) * div	return nextDiv(bound, div) + (num - 1) * div;	01	883A	39881536	8	1
	}	01	883A	39881536	9	0
declare prevDiv with long longs bound, div as arguments, returning long long	long long prevDiv(long long bound, long long div) {	01	883A	39881536	10	0
return bound if bound % div is 0, else bound - bound % div	return (bound % div == 0 ? bound : bound - bound % div);	01	883A	39881536	11	1
	}	01	883A	39881536	12	0
declare numDiv with long longs L, R, div as arguments, returning long long	long long numDiv(long long L, long long R, long long div) {	01	883A	39881536	13	0
return result of run prevDiv(R,div) / div - result of run prevDiv(L-1,div) / div	return prevDiv(R, div) / div - prevDiv(L - 1, div) / div;	01	883A	39881536	14	1
	}	01	883A	39881536	15	0
declare numOpen with long longs L, R as arguments, returning pair of long long, long long	pair<long long, long long> numOpen(long long L, long long R) {	01	883A	39881536	16	0
declare long long realR = minimum of ( R and n * a )	long long realR = min(R, n * a);	01	883A	39881536	17	1
declare long long xx = result of numDiv(L, realR, a)	long long xx = numDiv(L, realR, a);	01	883A	39881536	18	1
if xx is less than or equal to da, return {1, result of run nextDiv(L,a) + d }	if (xx <= da) return {1, nextDiv(L, a) + d};	01	883A	39881536	19	1
declare long long noob = xx - da if xx % da is 0, else xx - xx % da	long long noob = (xx % da == 0 ? xx - da : xx - xx % da);	01	883A	39881536	20	1
declare long long nextt = result of run nextDiv(L,noob,a)	long long nextt = nextDiv(L, noob, a);	01	883A	39881536	21	1
if xx % da is 0, return { xx / da, nextt + d }	if (xx % da == 0) return {xx / da, nextt + d};	01	883A	39881536	22	1
return { 1 + xx / da, nextt + d } from function	return {1 + xx / da, nextt + d};	01	883A	39881536	23	1
	}	01	883A	39881536	24	0
declare special with long long bound as argument, returning long long	long long special(long long bound) {	01	883A	39881536	25	0
declare long long cur = result of run nextDiv(bound+1, a)	long long cur = nextDiv(bound + 1, a);	01	883A	39881536	26	1
if n is less than result of run numDiv(a, bound, a ), return 0 from function	if (n < numDiv(a, bound, a)) return 0;	01	883A	39881536	27	1
declare long long numLeft = n - result of run numDiv(a, bound, a )	long long numLeft = n - numDiv(a, bound, a);	01	883A	39881536	28	1
if numLeft is greater than 0	if (numLeft > 0)	01	883A	39881536	29	1
return first element of result of run numOpen( cur, result of run nextDiv( cur, numLeft -1, a) )	return numOpen(cur, nextDiv(cur, numLeft - 1, a)).first;	01	883A	39881536	30	2
else	else	01	883A	39881536	31	1
	return 0;	01	883A	39881536	32	2
	}	01	883A	39881536	33	0
declare solve with no arguments, returning void	void solve() {	01	883A	39881536	34	0
declare long long cur = minimum of ( a, t[1] )	long long cur = min(a, t[1]);	01	883A	39881536	35	1
declare long long pt = 1	long long pt = 1;	01	883A	39881536	36	1
declare long long ans = 0	long long ans = 0;	01	883A	39881536	37	1
while pt is less than or equal to m	while (pt <= m) {	01	883A	39881536	38	1
if cur is not t[pt]	if (cur != t[pt]) {	01	883A	39881536	39	2
declare pair of long long, long long xop = result of run numOpen(cur,t[pt] - 1 )	pair<long long, long long> xop = numOpen(cur, t[pt] - 1);	01	883A	39881536	40	3
increment ans by first element xop	ans += xop.first;	01	883A	39881536	41	3
while pt is less than or equal to m and t[pt] is less than or equal to second element of xop, increment pt	while (pt <= m && t[pt] <= xop.second) pt++;	01	883A	39881536	42	3
if pt is m + 1	if (pt == m + 1) {	01	883A	39881536	43	3
increment ans by result of run special(second element of xop)	ans += special(xop.second);	01	883A	39881536	44	4
end loop	break;	01	883A	39881536	45	4
	}	01	883A	39881536	46	3
let cur be t[pt]	cur = t[pt];	01	883A	39881536	47	3
if result of run numDiv(a, second element of xop, a ) is less than n, let cur be minimum of ( t[pt] and result of run nextDiv(second element of xop + 1, a ) )	if (numDiv(a, xop.second, a) < n) cur = min(t[pt], nextDiv(xop.second + 1, a));	01	883A	39881536	48	3
else	} else {	01	883A	39881536	49	2
increment ans	ans++;	01	883A	39881536	50	3
declare long long neo = pt	long long neo = pt;	01	883A	39881536	51	3
while pt is less than m and t[pt+1] - t[neo] is less than or equal to d, increment pt	while (pt < m && t[pt + 1] - t[neo] <= d) pt++;	01	883A	39881536	52	3
if pt is m	if (pt == m) {	01	883A	39881536	53	3
increment ans by result of run special(t[neo]+d)	ans += special(t[neo] + d);	01	883A	39881536	54	4
end loop	break;	01	883A	39881536	55	4
	}	01	883A	39881536	56	3
increment pt	pt++;	01	883A	39881536	57	3
let cur be t[pt]	cur = t[pt];	01	883A	39881536	58	3
if (result of run numDiv(a, t[neo] + d, a) is less than n) cur = minimum of(t[pt] and result of run nextDiv(t[neo] + d + 1, a))	if (numDiv(a, t[neo] + d, a) < n) cur = min(t[pt], nextDiv(t[neo] + d + 1, a));	01	883A	39881536	59	3
	}	01	883A	39881536	60	2
	}	01	883A	39881536	61	1
print ans and '\n'	cout << ans << '\n';	01	883A	39881536	62	1
	}	01	883A	39881536	63	0
	int main() {	01	883A	39881536	64	0
read n, m, a, d	cin >> n >> m >> a >> d;	01	883A	39881536	65	1
for i = 1 to m inclusive, read t[i]	for (int i = 1; i <= m; i++) cin >> t[i];	01	883A	39881536	66	1
let da be result of run numDiv(a,a+d,a)	da = numDiv(a, a + d, a);	01	883A	39881536	67	1
run solve	solve();	01	883A	39881536	68	1
	}	01	883A	39881536	69	0
declare long long array a size 1000 by 1000	long long a[1000][1000];	01	107A	47339049	0	0
declare long long q	long long q;	01	107A	47339049	1	0
declare fun with long long i as argument, returning long long	long long fun(long long i) {	01	107A	47339049	2	0
for j = 0 to 1000 exclusive	for (long long j = 0; j < 1000; j++) {	01	107A	47339049	3	1
if a[i][j] is not 0, return minimum of ( result of run fun(j) and a[i][j] )	if (a[i][j] != 0) { return min(fun(j), a[i][j]); }	01	107A	47339049	4	2
	}	01	107A	47339049	5	1
let q be i	q = i;	01	107A	47339049	6	1
return INT_MAX from function	return INT_MAX;	01	107A	47339049	7	1
	}	01	107A	47339049	8	0
declare long long vector array vid size 3	vector<long long> vid[3];	01	107A	47339049	9	0
	int main() {	01	107A	47339049	10	0
end statement	;	01	107A	47339049	11	1
declare n, p as long long	long long n, p;	01	107A	47339049	12	1
read n and p	cin >> n >> p;	01	107A	47339049	13	1
declare x, y, z as long long	long long x, y, z;	01	107A	47339049	14	1
for i = 0 to p exclusive	for (long long i = 0; i < p; i++) {	01	107A	47339049	15	1
read x, y, z	cin >> x >> y >> z;	01	107A	47339049	16	2
let a[x-1][y-1] be z	a[x - 1][y - 1] = z;	01	107A	47339049	17	2
	}	01	107A	47339049	18	1
for i = 0 to n exclusive	for (long long i = 0; i < n; i++) {	01	107A	47339049	19	1
declare long long j	long long j;	01	107A	47339049	20	2
for j = 0 to n exclusive	for (j = 0; j < n; j++) {	01	107A	47339049	21	2
if a[j][i] is not 0, end loop	if (a[j][i] != 0) break;	01	107A	47339049	22	3
	}	01	107A	47339049	23	2
if j is n	if (j == n) {	01	107A	47339049	24	2
declare integer k = result of run fun with i as argument	int k = fun(i);	01	107A	47339049	25	3
if q is not i	if (q != i) {	01	107A	47339049	26	3
add i to end of vid[0]	vid[0].push_back(i);	01	107A	47339049	27	4
add k to end of vid[2]	vid[2].push_back(k);	01	107A	47339049	28	4
add q to end of vid[1]	vid[1].push_back(q);	01	107A	47339049	29	4
	}	01	107A	47339049	30	3
	}	01	107A	47339049	31	2
	}	01	107A	47339049	32	1
print size of vid[0] and newline	cout << vid[0].size() << endl;	01	107A	47339049	33	1
for i = 0 to size of vid[0] exclusive, print vid[0][i] + 1, ' ', vid[1][i] + 1, ' ', vid[2][i], '\n'	for (long long i = 0; i < vid[0].size(); i++) { cout << vid[0][i] + 1 << ' ' << vid[1][i] + 1 << ' ' << vid[2][i] << '\n'; }	01	107A	47339049	34	1
	}	01	107A	47339049	35	0
create ints i, j, k, m, n, and l and int array ans of size 20000	int ans[20000], i, j, k, m, n, l;	13	156A	41410402	0	0
create char arrays a of size 20000, b of size 20000, c of size 20000, and d of size 20000	char a[20000], b[20000], c[20000], d[20000];	13	156A	41410402	1	0
	int main() {	13	156A	41410402	2	0
for i = 0 to 20000 exclusive, set ans[i] to 0	for (i = 0; i < 2000; ++i) ans[i] = 0;	13	156A	41410402	3	1
read a	gets(a);	13	156A	41410402	4	1
read d	gets(d);	13	156A	41410402	5	1
set m to strlen(d)	m = strlen(d);	13	156A	41410402	6	1
for i = 0 to m - 1 exclusive, set b[i] to ' '	for (i = 0; i < m - 1; ++i) b[i] = ' ';	13	156A	41410402	7	1
append a to b	strcat(b, a);	13	156A	41410402	8	1
set n to strlen(b)	n = strlen(b);	13	156A	41410402	9	1
for i = n to m + n - 1 exclusive, set b[i] to '0'	for (i = n; i < m + n - 1; ++i) b[i] = '0';	13	156A	41410402	10	1
set l to m	l = m;	13	156A	41410402	11	1
for i = 0 to n exclusive	for (i = 0; i < n; ++i) {	13	156A	41410402	12	1
for k = i to i + 1 exclusive, set c[k - i] to b[k]	for (k = i; k < i + l; ++k) c[k - i] = b[k];	13	156A	41410402	13	2
for j = 0 to l exclusive	for (j = 0; j < l; ++j) {	13	156A	41410402	14	2
if d[j] is equal to c[j], increment ans[i]	if (d[j] == c[j]) ans[i]++;	13	156A	41410402	15	3
	}	13	156A	41410402	16	2
	}	13	156A	41410402	17	1
sort ans using argument ans + n + 1	sort(ans, ans + n + 1);	13	156A	41410402	18	1
print m - ans[i]	cout << m - ans[i] << endl;	13	156A	41410402	19	1
	return 0;	13	156A	41410402	20	1
	}	13	156A	41410402	21	0
mp = long long, long long map	map<long long, long long> mp;	10	364A	46637699	0	0
	int main() {	10	364A	46637699	1	0
i, j, a, ans, cnt, n = long long with ans = 0	long long i, j, a, ans = 0, cnt, n;	10	364A	46637699	2	1
s = string	string s;	10	364A	46637699	3	1
read a then s	cin >> a >> s;	10	364A	46637699	4	1
set n to size of s as int	n = (int)(s.size());	10	364A	46637699	5	1
for i = 0 to n decrement s[i] by 48	for (i = 0; i < n; i++) s[i] -= 48;	10	364A	46637699	6	1
for i = 0 to n	for (i = 0; i < n; i++) {	10	364A	46637699	7	1
set cnt to 0	cnt = 0;	10	364A	46637699	8	2
for j = i to n	for (j = i; j < n; j++) {	10	364A	46637699	9	2
increment cnt by s[j]	cnt += s[j];	10	364A	46637699	10	3
increment mp[cnt]	mp[cnt]++;	10	364A	46637699	11	3
	}	10	364A	46637699	12	2
	}	10	364A	46637699	13	1
for i = 0 to n	for (i = 0; i < n; i++) {	10	364A	46637699	14	1
set cnt to 0	cnt = 0;	10	364A	46637699	15	2
for j = i to n	for (j = i; j < n; j++) {	10	364A	46637699	16	2
increment cnt by s[j]	cnt += s[j];	10	364A	46637699	17	3
if cnt and a are both 0	if (cnt == 0 && a == 0)	10	364A	46637699	18	3
increment ans by (n * (n + 1)) / 2	ans += (n * (n + 1)) / 2;	10	364A	46637699	19	4
else if cnt is not 0 and a is a multiple if cnt and mp contains key a / cnt	else if (cnt != 0 && a % cnt == 0 && mp.find(a / cnt) != mp.end())	10	364A	46637699	20	3
increment ans by mp[a / cnt]	ans += mp[a / cnt];	10	364A	46637699	21	4
	}	10	364A	46637699	22	2
	}	10	364A	46637699	23	1
print ans	cout << ans << "\n";	10	364A	46637699	24	1
	return 0;	10	364A	46637699	25	1
	}	10	364A	46637699	26	0
	int main() {	05	192A	48903088	0	0
n = integer	int n;	05	192A	48903088	1	1
read n	cin >> n;	05	192A	48903088	2	1
ans = bool with ans = false	bool ans = false;	05	192A	48903088	3	1
sqr = integer with sqr = ceil(sqrt(2 * n))	int sqr = ceil(sqrt(2 * n));	05	192A	48903088	4	1
for i = 1 to sqr	for (int i = 1; i <= sqr; i++) {	05	192A	48903088	5	1
for j = i to sqr	for (int j = i; j <= sqr; j++) {	05	192A	48903088	6	2
if i * (i + 1) + j * (j + 1) is 2 * n	if (i * (i + 1) + j * (j + 1) == 2 * n) {	05	192A	48903088	7	3
ans = true	ans = true;	05	192A	48903088	8	4
break loop	break;	05	192A	48903088	9	4
	}	05	192A	48903088	10	3
	}	05	192A	48903088	11	2
if (ans) break loop	if (ans) break;	05	192A	48903088	12	2
	}	05	192A	48903088	13	1
if ans print YES, else NO	cout << (ans ? "YES" : "NO") << endl;	05	192A	48903088	14	1
	return 0;	05	192A	48903088	15	1
	}	05	192A	48903088	16	0
d = inta rray of size 30	int d[30];	10	685A	47553243	0	0
t = int array of size 7	int t[7];	10	685A	47553243	1	0
ne, me = int	int ne, me;	10	685A	47553243	2	0
n, m = int	int n, m;	10	685A	47553243	3	0
in function check returning a bool	bool check() {	10	685A	47553243	4	0
tn = int with tn = 0	int tn = 0;	10	685A	47553243	5	1
b = int with b = 1	int b = 1;	10	685A	47553243	6	1
for i = 0 to ne	for (int i = 0; i < ne; i++) {	10	685A	47553243	7	1
add t[i] * b to tn	tn += t[i] * b;	10	685A	47553243	8	2
set b to b * 7	b *= 7;	10	685A	47553243	9	2
	}	10	685A	47553243	10	1
set b to 1	b = 1;	10	685A	47553243	11	1
tm = int with tm = 0	int tm = 0;	10	685A	47553243	12	1
for i = ne to me	for (int i = ne; i < me; i++) {	10	685A	47553243	13	1
add t[i] * b to tm	tm += t[i] * b;	10	685A	47553243	14	2
set b to b * 7	b *= 7;	10	685A	47553243	15	2
	}	10	685A	47553243	16	1
return tn is less or equal to n and tm is less or equal to m	return (tn <= n && tm <= m);	10	685A	47553243	17	1
	}	10	685A	47553243	18	0
ans = int with ans = 0	int ans = 0;	10	685A	47553243	19	0
in function dfs0 taking an int p	void dfs0(int p) {	10	685A	47553243	20	0
if p is greater or equal to me	if (p >= me) {	10	685A	47553243	21	1
add value of check to ans	ans += check();	10	685A	47553243	22	2
return	return;	10	685A	47553243	23	2
	}	10	685A	47553243	24	1
for i = p to me	for (int i = p; i < me; i++) {	10	685A	47553243	25	1
call swap on t[p] and t[i]	swap(t[p], t[i]);	10	685A	47553243	26	2
call dfs0 on p + 1	dfs0(p + 1);	10	685A	47553243	27	2
call swap on t[p] and t[i]	swap(t[p], t[i]);	10	685A	47553243	28	2
	}	10	685A	47553243	29	1
	}	10	685A	47553243	30	0
in function dfs1	void dfs1() {	10	685A	47553243	31	0
for s = 1 bitshift left 7 - 1 decrement s while s is greater than 0	for (int s = (1 << 7) - 1; s > 0; s--) {	10	685A	47553243	32	1
cnt = int with cnt = 0	int cnt = 0;	10	685A	47553243	33	2
for j = 0 to 7	for (int j = 0; j < 7; j++) {	10	685A	47553243	34	2
if s bitshift right j bitwise-and 1 is true then set t[cnt] to j then increment cnt	if ((s >> j) & 1) { t[cnt++] = j; }	10	685A	47553243	35	3
	}	10	685A	47553243	36	2
if cnt equals me then call dfs0 of 0	if (cnt == me) { dfs0(0); }	10	685A	47553243	37	2
	}	10	685A	47553243	38	1
	}	10	685A	47553243	39	0
	int main() {	10	685A	47553243	40	0
read n then m	cin >> n >> m;	10	685A	47553243	41	1
decrement n	n--;	10	685A	47553243	42	1
decrement m	m--;	10	685A	47553243	43	1
set ne to 0	ne = 0;	10	685A	47553243	44	1
dn, dm = int with dn = n and dm = m	int dn = n, dm = m;	10	685A	47553243	45	1
if dn equals 0	if (dn == 0) {	10	685A	47553243	46	1
increment ne	ne++;	10	685A	47553243	47	2
else	} else {	10	685A	47553243	48	1
loop while dn is not 0	while (dn) {	10	685A	47553243	49	2
set d[ne] to dn mod 7 then increment ne	d[ne++] = dn % 7;	10	685A	47553243	50	3
set dn to dn / 7	dn /= 7;	10	685A	47553243	51	3
	}	10	685A	47553243	52	2
	}	10	685A	47553243	53	1
set me to ne	me = ne;	10	685A	47553243	54	1
if dm equals 0	if (dm == 0) {	10	685A	47553243	55	1
increment me	me++;	10	685A	47553243	56	2
else	} else {	10	685A	47553243	57	1
while dm is not 0	while (dm) {	10	685A	47553243	58	2
set d[me) to dm mod 7 then increment me	d[me++] = dm % 7;	10	685A	47553243	59	3
set dm to dm / 7	dm /= 7;	10	685A	47553243	60	3
	}	10	685A	47553243	61	2
	}	10	685A	47553243	62	1
if me is greater than 7	if (me > 7) {	10	685A	47553243	63	1
print 0	cout << 0 << endl;	10	685A	47553243	64	2
else	} else {	10	685A	47553243	65	1
call dfs1	dfs1();	10	685A	47553243	66	2
print ans	cout << ans << endl;	10	685A	47553243	67	2
	}	10	685A	47553243	68	1
	return 0;	10	685A	47553243	69	1
	}	10	685A	47553243	70	0
s is a new array of characters with size 1005	char s[1005];	54	982A	41917847	0	0
	int main() {	54	982A	41917847	1	0
n is a new integer	int n;	54	982A	41917847	2	1
read n from the user input	cin >> n;	54	982A	41917847	3	1
read the value of s + 1 from the input	cin >> s + 1;	54	982A	41917847	4	1
declare integers cnt, cnt0, cnt1 = 0 and l = n / 2	int cnt = 0, cnt0 = 0, cnt1 = 0, l = n / 2;	54	982A	41917847	5	1
if n is odd increment l by one	if (n % 2) l++;	54	982A	41917847	6	1
for i = 1 to n inclusive	for (int i = 1; i <= n; i++) {	54	982A	41917847	7	1
change cnt to cnt + s[i] - '0'	cnt += s[i] - '0';	54	982A	41917847	8	2
if s[i] = '0', increment cnt0 and assign 0 to cnt1	if (s[i] == '0') cnt0++, cnt1 = 0;	54	982A	41917847	9	2
if s[i] is equal to '1', increment cnt1 and assign the new value = 0 to cnt0	if (s[i] == '1') cnt1++, cnt0 = 0;	54	982A	41917847	10	2
if cnt0 = 3 or cnt1 is equal to 2	if (cnt0 == 3 || cnt1 == 2) {	54	982A	41917847	11	2
print "No"	cout << "No" << endl;	54	982A	41917847	12	3
	return 0;	54	982A	41917847	13	3
	}	54	982A	41917847	14	2
	}	54	982A	41917847	15	1
if n = 1 and s[1] is equal to '0'	if (n == 1 && s[1] == '0')	54	982A	41917847	16	1
print "No"	cout << "No" << endl;	54	982A	41917847	17	2
else if (s[1] = '0' and s[2] = '0') or (s[n - 1] = '0' and s[n] = '0')	else if ((s[1] == '0' && s[2] == '0') || (s[n - 1] == '0' && s[n] == '0'))	54	982A	41917847	18	1
print "No"	cout << "No" << endl;	54	982A	41917847	19	2
else	else	54	982A	41917847	20	1
print "Yes"	cout << "Yes" << endl;	54	982A	41917847	21	2
	return 0;	54	982A	41917847	22	1
	}	54	982A	41917847	23	0
declare array of integers a of size 500010	int a[500010];	27	590A	41142428	0	0
	int main() {	27	590A	41142428	1	0
create integer n	int n;	27	590A	41142428	2	1
read n	cin >> n;	27	590A	41142428	3	1
read n values into array a	for (int i = 0; i < n; i++) cin >> a[i];	27	590A	41142428	4	1
create integer ans = 0	int ans(0);	27	590A	41142428	5	1
let l and r be integers	int l, r;	27	590A	41142428	6	1
let i be an int and for i = 0 to i = n exclusive	for (int i = 0; i < n; i++) {	27	590A	41142428	7	1
set l to i	l = i;	27	590A	41142428	8	2
assign i + 1 to r	r = i + 1;	27	590A	41142428	9	2
while r is less than n and a[l] is not equal to [r]	while (r < n && a[l] != a[r]) {	27	590A	41142428	10	2
increment l	l++;	27	590A	41142428	11	3
r = r + 1	r++;	27	590A	41142428	12	3
	}	27	590A	41142428	13	2
set l to i + 1	l = i + 1;	27	590A	41142428	14	2
r = r - 2	r -= 2;	27	590A	41142428	15	2
create int num = 0	int num(0);	27	590A	41142428	16	2
while l is less than or equal to r	while (l <= r) {	27	590A	41142428	17	2
set a[l] to a[l - 1]	a[l] = a[l - 1];	27	590A	41142428	18	3
set a[r] to a[r + 1]	a[r] = a[r + 1];	27	590A	41142428	19	3
increment l	l++;	27	590A	41142428	20	3
decrement r	r--;	27	590A	41142428	21	3
increment num	num++;	27	590A	41142428	22	3
	}	27	590A	41142428	23	2
assign max of ans and num to ans	ans = max(ans, num);	27	590A	41142428	24	2
	}	27	590A	41142428	25	1
print ans	cout << ans << endl;	27	590A	41142428	26	1
print n values of array a separated by a space	for (int i = 0; i < n - 1; i++) cout << a[i] << ' ';	27	590A	41142428	27	1
print a[n - 1]	cout << a[n - 1] << endl;	27	590A	41142428	28	1
	return 0;	27	590A	41142428	29	1
	}	27	590A	41142428	30	0
